Tanggal,Teks_Ulasan,Rating,Teks_Bersih,Teks_Stopword,Teks_Stemming
2026-05-14 17:18:45,kurangi bot di eranggel karena sangat mengganggu sekali. di saat kita lagi mengintai musuh bot datang dari belakang. kadang satu macth isinya bot semua di eranggel. membuat cepat bosan.,3,kurangi bot di eranggel karena sangat mengganggu sekali di saat kita lagi mengintai musuh bot datang dari belakang kadang satu macth isinya bot semua di eranggel membuat cepat bosan,kurangi bot eranggel mengganggu mengintai musuh bot kadang macth isinya bot eranggel cepat bosan,kurang bot eranggel ganggu intai musuh bot kadang macth isi bot eranggel cepat bosan
2026-05-14 17:17:44,good,4,good,good,good
2026-05-14 17:11:16,"knp sih, awal download itu, FPS nya gpernah nama nya stabil, sinyal 20mps, tp FPS drop mulu, heran gue player kasih bintang 4 karna masih belum di perbaikan FPS males main jadi nya, coba FPS normal"" bug yg di perbaiki, FPS gk... tolong yaa secepatnya, lagi bentar turun season, biar enak main nya.!",4,knp sih awal download itu fps nya gpernah nama nya stabil sinyal mps tp fps drop mulu heran gue player kasih bintang karna masih belum di perbaikan fps males main jadi nya coba fps normal bug yg di perbaiki fps gk tolong yaa secepatnya lagi bentar turun season biar enak main nya,knp download fps gpernah nama stabil sinyal mps tp fps drop mulu heran player kasih bintang karna perbaikan fps males main coba fps normal bug perbaiki fps gk tolong yaa secepatnya bentar turun season enak main,knp download fps gpernah nama stabil sinyal mps tp fps drop mulu heran player kasih bintang karna baik fps males main coba fps normal bug baik fps gk tolong yaa cepat bentar turun season enak main
2026-05-14 17:10:54,pubji semakin keren..aku main baru 3thn..makin bagus az nih..sukses selalu pubji..,5,pubji semakin kerenaku main baru thnmakin bagus az nihsukses selalu pubji,pubji kerenaku main thnmakin bagus az nihsukses pubji,pubji rena main thnmakin bagus az nihsukses pubji
2026-05-14 17:07:47,game ini sebenernya udh mati kutu outfit yg ga msuk akal di jual gameplay udh banyak ngebosenin di tambah banyak nya hal² yg di persulit yah intinya player lama dh pensiun kek gw ini skrng udh ga maen ni game cape makan hati ga seru cuma ngabisin waktu tapi ga dpt hiburannya game sepi pula hadeh...,1,game ini sebenernya udh mati kutu outfit yg ga msuk akal di jual gameplay udh banyak ngebosenin di tambah banyak nya hal yg di persulit yah intinya player lama dh pensiun kek gw ini skrng udh ga maen ni game cape makan hati ga seru cuma ngabisin waktu tapi ga dpt hiburannya game sepi pula hadeh,sebenernya udh mati kutu outfit msuk akal jual gameplay udh ngebosenin persulit yah intinya player dh pensiun kek skrng udh maen ni cape makan hati seru ngabisin dpt hiburannya sepi hadeh,sebenernya udh mati kutu outfit msuk akal jual gameplay udh ngebosenin sulit yah inti player dh pensiun kek skrng udh maen ni cape makan hati seru ngabisin dpt hibur sepi hadeh
2026-05-14 17:00:50,tolong perbaiki akun saya tiba-tiba hilang sendiri,1,tolong perbaiki akun saya tibatiba hilang sendiri,tolong perbaiki akun tibatiba hilang,tolong baik akun tibatiba hilang
2026-05-14 16:56:40,suguh mengasikan,5,suguh mengasikan,suguh mengasikan,suguh asi
2026-05-14 16:55:48,mohon bantuan untuk setting gyroscope nya sering error dan terbalik,5,mohon bantuan untuk setting gyroscope nya sering error dan terbalik,mohon bantuan setting gyroscope error terbalik,mohon bantu setting gyroscope error balik
2026-05-14 16:41:38,good game,5,good game,good,good
2026-05-14 16:41:17,"hapus syarat naik ace dengan 3 kali menang berturut"" karena kekuatan lawan jauh lebih tinggi",4,hapus syarat naik ace dengan kali menang berturut karena kekuatan lawan jauh lebih tinggi,hapus syarat ace kali menang kekuatan lawan,hapus syarat ace kali menang kuat lawan
2026-05-14 16:38:10,game play mantap,5,game play mantap,play mantap,play mantap
2026-05-14 16:36:59,"cheaternya mulai banyak lagi, mohon perketat user dengan akun mencurigakan",5,cheaternya mulai banyak lagi mohon perketat user dengan akun mencurigakan,cheaternya mohon perketat user akun mencurigakan,cheaternya mohon ketat user akun curiga
2026-05-14 16:34:42,keren,5,keren,keren,keren
2026-05-14 16:30:12,game terbaik pertama,5,game terbaik pertama,terbaik,baik
2026-05-14 16:29:21,turunin harga uc,5,turunin harga uc,turunin harga uc,turunin harga uc
2026-05-14 16:05:50,tolong pandangan kamera tpp di tambah sampai 110 atau 120,5,tolong pandangan kamera tpp di tambah sampai atau,tolong pandangan kamera tpp,tolong pandang kamera tpp
2026-05-14 15:59:06,ok,5,ok,ok,ok
2026-05-14 15:54:27,"game ini sekarang menjadi leg frame drop, dalam posisi close combat sinyal sering leg,tidak seperti dulu yg saat close combat sangat lancar saat season 1-2-3-4 mulai dari season 5 sampai sekarang leg frame drop permainan sulit banyak cheater yg tidak terlihat bahwa player itu sebenarnya cheater d tambah sistim grading mempersulit player untuk naik rank ace ke atas pokoknya game ini hilang keseruannya",1,game ini sekarang menjadi leg frame drop dalam posisi close combat sinyal sering legtidak seperti dulu yg saat close combat sangat lancar saat season mulai dari season sampai sekarang leg frame drop permainan sulit banyak cheater yg tidak terlihat bahwa player itu sebenarnya cheater d tambah sistim grading mempersulit player untuk naik rank ace ke atas pokoknya game ini hilang keseruannya,leg frame drop posisi close combat sinyal legtidak close combat lancar season season leg frame drop permainan sulit cheater player cheater d sistim grading mempersulit player rank ace pokoknya hilang keseruannya,leg frame drop posisi close combat sinyal legtidak close combat lancar season season leg frame drop main sulit cheater player cheater d sistim grading sulit player rank ace pokok hilang seru
2026-05-14 15:53:11,sangat bagus,5,sangat bagus,bagus,bagus
2026-05-14 15:48:14,hp ram 2 GB bisa gak ya🧐,5,hp ram gb bisa gak ya,hp ram gb,hp ram gb
2026-05-14 15:45:32,perbaiki game ini sumpah main di rondo kadang GK bsa jualan game bodo,2,perbaiki game ini sumpah main di rondo kadang gk bsa jualan game bodo,perbaiki sumpah main rondo kadang gk bsa jualan bodo,baik sumpah main rondo kadang gk bsa jual bodo
2026-05-14 15:42:45,PUBGM Paling terbaik di dunia,5,pubgm paling terbaik di dunia,pubgm terbaik dunia,pubgm baik dunia
2026-05-14 15:42:34,gila 30gb hilang sia sia.. ada minta update dari dlaam ingame 600mb. slsai download 600mb install update... setuju setuju terus malah hilang gamenya dari HP,2,gila gb hilang sia sia ada minta update dari dlaam ingame mb slsai download mb install update setuju setuju terus malah hilang gamenya dari hp,gila gb hilang sia sia update dlaam ingame mb slsai download mb install update setuju setuju hilang gamenya hp,gila gb hilang sia sia update dlaam ingame mb slsai download mb install update tuju tuju hilang gamenya hp
2026-05-14 15:39:05,"bagus. tapi aku gak mulai dari nol, aku di kasih akun pubg sama omku. sultan akunnya",5,bagus tapi aku gak mulai dari nol aku di kasih akun pubg sama omku sultan akunnya,bagus nol kasih akun omku sultan akunnya,bagus nol kasih akun om sultan akun
2026-05-14 15:37:07,"pihak deplover hanya bisa minta maaf sajah tak bisa memperbaiki masalah saya sangat kecewa sekali.!!! tiap saya main kalo ada musuh tiba2 NGELEG..!!! DAN SETEP MUSUH TAK ADA TIBA SUDAH TEMBAK saya itu masalah nya bikin saya sakit hati dan kecewa berat pihak deplover mau jawab apa,, pasti cuma minta maaf doang sudah bertahun2 main masalah tak kunjung di BENAHI.. COBA KAU MAU JAWAB APA masalah nya tak ada diperbaiki apdet RATUSAN MB tapi kaya... mau saya bilang kasar kah..",1,pihak deplover hanya bisa minta maaf sajah tak bisa memperbaiki masalah saya sangat kecewa sekali tiap saya main kalo ada musuh tiba ngeleg dan setep musuh tak ada tiba sudah tembak saya itu masalah nya bikin saya sakit hati dan kecewa berat pihak deplover mau jawab apa pasti cuma minta maaf doang sudah bertahun main masalah tak kunjung di benahi coba kau mau jawab apa masalah nya tak ada diperbaiki apdet ratusan mb tapi kaya mau saya bilang kasar kah,deplover maaf sajah memperbaiki kecewa main musuh ngeleg setep musuh tembak sakit hati kecewa berat deplover maaf doang bertahun main kunjung benahi coba kau diperbaiki apdet ratusan mb kaya bilang kasar kah,deplover maaf sajah baik kecewa main musuh ngeleg setep musuh tembak sakit hati kecewa berat deplover maaf doang tahun main kunjung benah coba kau baik apdet ratus mb kaya bilang kasar kah
2026-05-14 15:36:54,game ini sangat bagus👍,5,game ini sangat bagus,bagus,bagus
2026-05-14 15:35:59,game sangat baik dan mudah dimainkan,5,game sangat baik dan mudah dimainkan,mudah dimainkan,mudah main
2026-05-14 15:24:48,sudah mantap tingkat kan lagi,5,sudah mantap tingkat kan lagi,mantap tingkat,mantap tingkat
2026-05-14 15:19:12,fungsinya grading buat apa lagi lol,1,fungsinya grading buat apa lagi lol,fungsinya grading lol,fungsi grading lol
2026-05-14 15:18:23,nungguin pemainya lama,5,nungguin pemainya lama,nungguin pemainya,nungguin mai
2026-05-14 15:06:30,"banyak update ga jelas pantesan ajh banyak yg ninggalin,uc mubah dapat nya sampah semua pantesan ajh banyak yg pindah ke ff",1,banyak update ga jelas pantesan ajh banyak yg ninggalinuc mubah dapat nya sampah semua pantesan ajh banyak yg pindah ke ff,update pantesan ajh ninggalinuc mubah sampah pantesan ajh pindah ff,update pantesan ajh ninggalinuc mubah sampah pantesan ajh pindah ff
2026-05-14 15:05:58,Favorit,5,favorit,favorit,favorit
2026-05-14 15:05:15,tantangan Terbesar main Game ini ada lah Kalau ketemu lawan yang Jago🥲🤣Terus Aim nya On Poin terus,4,tantangan terbesar main game ini ada lah kalau ketemu lawan yang jagoterus aim nya on poin terus,tantangan terbesar main ketemu lawan jagoterus aim on poin,tantang besar main ketemu lawan jagoterus aim on poin
2026-05-14 15:02:08,"dari segi aplikasi sudah 1gb lebih belum di dalam download 1gb lagi ini game bukan buat hp kentang ini khusus untuk hp spek dewa saja, tapi jujur suara tembakannya, grafiknya, suasananya terbayarkan semua, sekian masukan dari saya Terimakasih",4,dari segi aplikasi sudah gb lebih belum di dalam download gb lagi ini game bukan buat hp kentang ini khusus untuk hp spek dewa saja tapi jujur suara tembakannya grafiknya suasananya terbayarkan semua sekian masukan dari saya terimakasih,segi aplikasi gb download gb hp kentang khusus hp spek dewa jujur suara tembakannya grafiknya suasananya terbayarkan sekian masukan terimakasih,segi aplikasi gb download gb hp kentang khusus hp spek dewa jujur suara tembak grafik suasana bayar sekian masuk terimakasih
2026-05-14 15:00:07,bagus banget,5,bagus banget,bagus,bagus
2026-05-14 14:56:47,"bobrok banget optimasinya, ditambah lagi set gratisannya jelek",1,bobrok banget optimasinya ditambah lagi set gratisannya jelek,bobrok optimasinya ditambah set gratisannya jelek,bobrok optimasinya tambah set gratis jelek
2026-05-14 14:55:55,"Gua main dr season 3, dulu seru bgt main pubg, tp skrng jd gajelas gini, tolong lah diperbaiki, masih banyak bug di in game",4,gua main dr season dulu seru bgt main pubg tp skrng jd gajelas gini tolong lah diperbaiki masih banyak bug di in game,main dr season seru main tp skrng jd gajelas gini tolong diperbaiki bug in,main dr season seru main tp skrng jd gajelas gin tolong baik bug in
2026-05-14 14:52:30,mantap Tencen game,5,mantap tencen game,mantap tencen,mantap tencen
2026-05-14 14:51:06,"mimin krafton/ level infinite ..! tolong terus perbaiki masalah render yang harus di buat ringan lagi, soalnya di pengaturan grafis itu aku pilih ""SOFT"" tetep aja masih gak berefek, dan untuk loading map ketika terjun itu kalau bisa diperbaiki menjadi harus dan sesuai dengan kebutuhan pemain device dibawah mid - range itu mimin ! semoga dibaca dan terus mau terima saran dan kritikan playernya, aamiin !!",4,mimin krafton level infinite tolong terus perbaiki masalah render yang harus di buat ringan lagi soalnya di pengaturan grafis itu aku pilih soft tetep aja masih gak berefek dan untuk loading map ketika terjun itu kalau bisa diperbaiki menjadi harus dan sesuai dengan kebutuhan pemain device dibawah mid range itu mimin semoga dibaca dan terus mau terima saran dan kritikan playernya aamiin,mimin krafton level infinite tolong perbaiki render ringan pengaturan grafis pilih soft tetep berefek loading map terjun diperbaiki sesuai kebutuhan pemain device dibawah mid range mimin semoga dibaca terima saran kritikan playernya aamiin,mimin krafton level infinite tolong baik render ringan atur grafis pilih soft tetep efek loading map terjun baik sesuai butuh main device bawah mid range mimin moga baca terima saran kritik playernya aamiin
2026-05-14 14:29:32,kalau sedang loading screen selesai menyelesaikan event tolong minimal ada jeda invisible dulu kek gak ngerti bikin game apa gimana udah loading 2 detik,1,kalau sedang loading screen selesai menyelesaikan event tolong minimal ada jeda invisible dulu kek gak ngerti bikin game apa gimana udah loading detik,loading screen selesai menyelesaikan event tolong minimal jeda invisible kek ngerti gimana loading detik,loading screen selesai selesai event tolong minimal jeda invisible kek ngerti gimana loading detik
2026-05-14 14:27:30,my game black screen,1,my game black screen,my black screen,my black screen
2026-05-14 13:55:34,"game nya kurang bagus di segi update nya, setiap update selalu bermasalah di internet nya ,ping selalu naik turun waktu ketemu lawan,ngak ada perubahan..",1,game nya kurang bagus di segi update nya setiap update selalu bermasalah di internet nya ping selalu naik turun waktu ketemu lawanngak ada perubahan,bagus segi update update bermasalah internet ping turun ketemu lawanngak perubahan,bagus segi update update masalah internet ping turun ketemu lawanngak ubah
2026-05-14 13:36:15,game aneh habis update bug teruss bagus tuh fiturnya jangan update skin aja,1,game aneh habis update bug teruss bagus tuh fiturnya jangan update skin aja,aneh habis update bug teruss bagus tuh fiturnya update skin,aneh habis update bug teruss bagus tuh fiturnya update skin
2026-05-14 13:29:13,jelek👹👺👹👺,2,jelek,jelek,jelek
2026-05-14 13:26:56,"terlalu banyak bug, seperti yang saya alami bug refive teman yang knock",1,terlalu banyak bug seperti yang saya alami bug refive teman yang knock,bug alami bug refive teman knock,bug alami bug refive teman knock
2026-05-14 13:25:22,kalau udh rank tinggi kami sebagai player kadang kadang pas lagi main sering banget ada yang afk tapi untung di pc gw gak ngelag yah karena ini game gambar nya bagus banget dan kalau gacha dapatnya skin bagus mulu jadi saya kasih bintang 5 (lima) tapi tolong kalau lagi main pisahkan dong player player nya yang player baru ya player baru player lama ya player lama,5,kalau udh rank tinggi kami sebagai player kadang kadang pas lagi main sering banget ada yang afk tapi untung di pc gw gak ngelag yah karena ini game gambar nya bagus banget dan kalau gacha dapatnya skin bagus mulu jadi saya kasih bintang lima tapi tolong kalau lagi main pisahkan dong player player nya yang player baru ya player baru player lama ya player lama,udh rank player kadang kadang main afk untung pc ngelag yah gambar bagus gacha dapatnya skin bagus mulu kasih bintang tolong main pisahkan player player player player player player,udh rank player kadang kadang main afk untung pc ngelag yah gambar bagus gacha dapat skin bagus mulu kasih bintang tolong main pisah player player player player player player
2026-05-14 12:32:41,ok,5,ok,ok,ok
2026-05-14 12:27:23,game nya mantap,5,game nya mantap,mantap,mantap
2026-05-14 12:16:35,"halo min tolong dong fix bug nembak' sendiri pas ingame sumpah ganggu bgt, ini hp aku normal buat daily dan buat game lain cuma pas main pubg aja suka nembak"" sendiri terus🫣😅",5,halo min tolong dong fix bug nembak sendiri pas ingame sumpah ganggu bgt ini hp aku normal buat daily dan buat game lain cuma pas main pubg aja suka nembak sendiri terus,halo min tolong fix bug nembak ingame sumpah ganggu hp normal daily main suka nembak,halo min tolong fix bug nembak ingame sumpah ganggu hp normal daily main suka nembak
2026-05-14 12:14:17,"masalah baru muncul lagi , sensitivitas fpp dan tpp aim ads tidak ada , kenapa pubg makin hari makin buruk performa nya , fpp dan tpp tanpa scope ada cuma aim ads yg tak ada bagaimana ini bisa terjadi saya sudah 2 kali mengalami hal seperti ini setelah melakukan setiap update terbaru",1,masalah baru muncul lagi sensitivitas fpp dan tpp aim ads tidak ada kenapa pubg makin hari makin buruk performa nya fpp dan tpp tanpa scope ada cuma aim ads yg tak ada bagaimana ini bisa terjadi saya sudah kali mengalami hal seperti ini setelah melakukan setiap update terbaru,muncul sensitivitas fpp tpp aim ads buruk performa fpp tpp scope aim ads kali mengalami update terbaru,muncul sensitivitas fpp tpp aim ads buruk performa fpp tpp scope aim ads kali alami update baru
2026-05-14 12:09:11,huaa pengen main lagi lah tapi room hp ku ga bakal mencukupi 😫,5,huaa pengen main lagi lah tapi room hp ku ga bakal mencukupi,huaa pengen main room hp ku mencukupi,huaa ken main room hp ku cukup
2026-05-14 12:04:26,bgus PUBG tapi geblek aj,5,bgus pubg tapi geblek aj,bgus geblek aj,bgus geblek aj
2026-05-14 11:48:18,Tolong untuk koneksi jaringan nya di stabil kan lagi dan satu lagi semakin update semakin berat game nya kalo bisa update kaya dulu aja 2019,1,tolong untuk koneksi jaringan nya di stabil kan lagi dan satu lagi semakin update semakin berat game nya kalo bisa update kaya dulu aja,tolong koneksi jaringan stabil update berat update kaya,tolong koneksi jaring stabil update berat update kaya
2026-05-14 11:29:45,halo mohon maaf PUBG MOBILE tolong hilangkan animasi 3D saat mendownload data karena itu sangat membuat hp saya lag dan force close dan saya tidak bisa bermain game PUBG di karenakan device saya yang tidak mendukung tolong hilangkan animasi nya ya agar saya bisa bermain game ini dan semua orang bisa merasakan game ini dengan device Low-mid range bisa main game PUBG 🙏,2,halo mohon maaf pubg mobile tolong hilangkan animasi d saat mendownload data karena itu sangat membuat hp saya lag dan force close dan saya tidak bisa bermain game pubg di karenakan device saya yang tidak mendukung tolong hilangkan animasi nya ya agar saya bisa bermain game ini dan semua orang bisa merasakan game ini dengan device lowmid range bisa main game pubg,halo mohon maaf mobile tolong hilangkan animasi d mendownload data hp lag force close bermain karenakan device mendukung tolong hilangkan animasi bermain orang merasakan device lowmid range main,halo mohon maaf mobile tolong hilang animasi d mendownload data hp lag force close main karena device dukung tolong hilang animasi main orang rasa device lowmid range main
2026-05-14 11:29:00,game untuk HP spec tinggi klau HP low nga bisa bersaing pubg nga seperti dulu,2,game untuk hp spec tinggi klau hp low nga bisa bersaing pubg nga seperti dulu,hp spec klau hp low nga bersaing nga,hp spec klau hp low nga saing nga
2026-05-14 11:26:26,my lovely game😘😘😘,5,my lovely game,my lovely,my lovely
2026-05-14 11:25:21,game paling terpuruk yang aku pernah mainin..🤣🤣🤣🤣 mendingan codm🫡🤟🤟,1,game paling terpuruk yang aku pernah mainin mendingan codm,terpuruk mainin mendingan codm,puruk mainin mending codm
2026-05-14 11:24:55,biasa saja,1,biasa saja,,
2026-05-14 11:18:46,saya suka dengan pengalaman bermain pubg,5,saya suka dengan pengalaman bermain pubg,suka pengalaman bermain,suka alam main
2026-05-14 11:17:53,Saya mulai main dari sesaon 2 . sempat berhenti karena Spec HP tidak mampu . sekarang mau main lagi akun lama saya hilang .,1,saya mulai main dari sesaon sempat berhenti karena spec hp tidak mampu sekarang mau main lagi akun lama saya hilang,main sesaon berhenti spec hp main akun hilang,main sesaon henti spec hp main akun hilang
2026-05-14 11:16:45,game tolol game haram mati keluar asap kayak kena azab,1,game tolol game haram mati keluar asap kayak kena azab,tolol haram mati asap kena azab,tolol haram mati asap kena azab
2026-05-14 11:10:06,permainan bagus untuk latihan perang hermagedon bersama Tuhan Yesus,5,permainan bagus untuk latihan perang hermagedon bersama tuhan yesus,permainan bagus latihan perang hermagedon tuhan yesus,main bagus latih perang hermagedon tuhan yesus
2026-05-14 11:06:37,mantapp game paling keren,5,mantapp game paling keren,mantapp keren,mantapp keren
2026-05-14 11:04:11,"update 4.4 malah ada bug tombol revive nya ilang dari awal main sampe akhir gamuncul², ganggu banget bikin kesel apalagi kalo turunnya di event",2,update malah ada bug tombol revive nya ilang dari awal main sampe akhir gamuncul ganggu banget bikin kesel apalagi kalo turunnya di event,update bug tombol revive ilang main sampe gamuncul ganggu kesel turunnya event,update bug tombol revive ilang main sampe gamuncul ganggu kesel turun event
2026-05-14 11:03:52,I LIKE PUBG MOBILE cuman knp ya suka ada bacaan dowload obb servis ga bisa dibuka game PUBG MOBILE nya klw ada bacaan itu,5,i like pubg mobile cuman knp ya suka ada bacaan dowload obb servis ga bisa dibuka game pubg mobile nya klw ada bacaan itu,i like mobile cuman knp suka bacaan dowload obb servis dibuka mobile klw bacaan,i like mobile cuman knp suka baca dowload obb servis buka mobile klw baca
2026-05-14 10:43:45,kalo bisa greading nya di ubah kak,5,kalo bisa greading nya di ubah kak,greading ubah kak,greading ubah kak
2026-05-14 10:42:42,Event nya kurang seru. SAYA AKAN LAWAN!,3,event nya kurang seru saya akan lawan,event seru lawan,event seru lawan
2026-05-14 10:09:47,gem harammmmmmmmmmmmmmmm,1,gem harammmmmmmmmmmmmmmm,gem harammmmmmmmmmmmmmmm,gem harammmmmmmmmmmmmmmm
2026-05-14 10:05:25,"matching lama, dan kadang pada saat main tiba tiba server eror padahal jaringan normal. pantas aja gak banyak lagi peminatnya. mendingan gue beralih ke ML",2,matching lama dan kadang pada saat main tiba tiba server eror padahal jaringan normal pantas aja gak banyak lagi peminatnya mendingan gue beralih ke ml,matching kadang main server eror jaringan normal peminatnya mendingan beralih ml,matching kadang main server eror jaring normal minat mending alih ml
2026-05-14 09:40:29,game bagus,1,game bagus,bagus,bagus
2026-05-14 08:40:26,tidak bisa di lapor dan di screenshot saat sama2x masuk di gua silter udah jaringan nya tiba2x hilang saat ketemu Sultan satu tim.,5,tidak bisa di lapor dan di screenshot saat samax masuk di gua silter udah jaringan nya tibax hilang saat ketemu sultan satu tim,lapor screenshot samax masuk silter jaringan tibax hilang ketemu sultan tim,lapor screenshot samax masuk silter jaring tibax hilang ketemu sultan tim
2026-05-14 08:26:28,i like this game good,5,i like this game good,i like this good,i like this good
2026-05-14 08:06:52,"game pubg ini sangat menghibur saya banget pas lagi capek"" pulang krja main game PUBG ini terasa sangat terhibur kayaknya.. kerengarafiknya juga bagus",5,game pubg ini sangat menghibur saya banget pas lagi capek pulang krja main game pubg ini terasa sangat terhibur kayaknya kerengarafiknya juga bagus,menghibur capek pulang krja main terhibur kayaknya kerengarafiknya bagus,hibur capek pulang krja main hibur kayak kerengarafiknya bagus
2026-05-14 07:46:24,tolong dong bug nya di perbaiki masa aku lagi naik mobil terus aku turun tiba tiba mati tolong dong diperbaiki,4,tolong dong bug nya di perbaiki masa aku lagi naik mobil terus aku turun tiba tiba mati tolong dong diperbaiki,tolong bug perbaiki mobil turun mati tolong diperbaiki,tolong bug baik mobil turun mati tolong baik
2026-05-14 07:41:43,sangat bagus,5,sangat bagus,bagus,bagus
2026-05-14 06:25:57,untuk fitur grading di pubg ini coba dihapus. saya ini gak jago saya bukan pro player. saya main biasa biasa aja tapi musuhnya kyak cacing semua alias gak imbang lawannya dulu sebelum ada sistem grading gak ada kek beginian. kalau mau sistem grading begini. sebenarnya kalau kalah masih bisa lanjut poinnya tapi gak bakal bisa naik cepat ranknya. ini malah ulang dari awal. malah stuck di rank itu trus,2,untuk fitur grading di pubg ini coba dihapus saya ini gak jago saya bukan pro player saya main biasa biasa aja tapi musuhnya kyak cacing semua alias gak imbang lawannya dulu sebelum ada sistem grading gak ada kek beginian kalau mau sistem grading begini sebenarnya kalau kalah masih bisa lanjut poinnya tapi gak bakal bisa naik cepat ranknya ini malah ulang dari awal malah stuck di rank itu trus,fitur grading coba dihapus jago pro player main musuhnya kyak cacing alias imbang lawannya sistem grading kek sistem grading kalah poinnya cepat ranknya ulang stuck rank,fitur grading coba hapus jago pro player main musuh kyak cacing alias imbang lawan sistem grading kek sistem grading kalah poin cepat ranknya ulang stuck rank
2026-05-14 05:56:47,game nya bagus tapi tolong jangan ada yang aneh aneh masak manusia bisa terbang,3,game nya bagus tapi tolong jangan ada yang aneh aneh masak manusia bisa terbang,bagus tolong aneh aneh masak manusia terbang,bagus tolong aneh aneh masak manusia terbang
2026-05-14 05:47:59,game pubg saya ngak bisa kebuka ada yang tau kenapa?,5,game pubg saya ngak bisa kebuka ada yang tau kenapa,ngak kebuka tau,ngak buka tau
2026-05-14 05:34:30,"tolong untuk krafton ditingkatkan lagi dari segi skin yang semua mahal orang liatnya udah Soak duluan liat skinnya segala mahal , sesuaiin bajet player lain lah Jaga kuantitas gamenya biar player lain nyaman",1,tolong untuk krafton ditingkatkan lagi dari segi skin yang semua mahal orang liatnya udah soak duluan liat skinnya segala mahal sesuaiin bajet player lain lah jaga kuantitas gamenya biar player lain nyaman,tolong krafton ditingkatkan segi skin mahal orang liatnya soak duluan liat skinnya mahal sesuaiin bajet player jaga kuantitas gamenya player nyaman,tolong krafton tingkat segi skin mahal orang liat soak duluan liat skinnya mahal sesuaiin bajet player jaga kuantitas gamenya player nyaman
2026-05-14 05:25:09,"min kok semenjak update kemarin jadi banyak kekurangan nya seperti g adanya revive dll, mohon diperbaiki ya game nya",5,min kok semenjak update kemarin jadi banyak kekurangan nya seperti g adanya revive dll mohon diperbaiki ya game nya,min semenjak update kemarin kekurangan g revive dll mohon diperbaiki,min semenjak update kemarin kurang g revive dll mohon baik
2026-05-14 04:25:10,terimakasih krafton ini adalah pubg terbagus di semua season.,5,terimakasih krafton ini adalah pubg terbagus di semua season,terimakasih krafton terbagus season,terimakasih krafton bagus season
2026-05-14 03:54:47,"pembelian Uc sudah berhasil saya TF melalui banking bank,tapi Uc nya belum masuk ke Akun saya ??",5,pembelian uc sudah berhasil saya tf melalui banking banktapi uc nya belum masuk ke akun saya,pembelian uc berhasil tf banking banktapi uc masuk akun,beli uc hasil tf banking banktapi uc masuk akun
2026-05-14 03:50:08,pokonya keren,5,pokonya keren,pokonya keren,poko keren
2026-05-14 03:31:13,"terlalu banyak update didalam game yang terlalu memakan penyimpanan, tolong kedepannya kalo bisa dikurangi saja mb updatenya. Terimakasih🙏🏻🙏🏻",2,terlalu banyak update didalam game yang terlalu memakan penyimpanan tolong kedepannya kalo bisa dikurangi saja mb updatenya terimakasih,update didalam memakan penyimpanan tolong kedepannya dikurangi mb updatenya terimakasih,update dalam makan simpan tolong depan rang mb updatenya terimakasih
2026-05-14 03:18:02,pusing hp kentang UPDATE Mulu mah :'),4,pusing hp kentang update mulu mah,pusing hp kentang update mulu,pusing hp kentang update mulu
2026-05-14 02:45:02,masih ok lah 👍,5,masih ok lah,ok,ok
2026-05-14 02:29:24,making Gila Aku cok update lagi below selsai,5,making gila aku cok update lagi below selsai,making gila cok update below selsai,making gila cok update below selsai
2026-05-14 02:16:14,"Mohon Diperbaiki Kembali, Kalau Bisa Permainan Solo Dan Duo Dipercepat Pencarian Laganya Seperti Laga Skuad",5,mohon diperbaiki kembali kalau bisa permainan solo dan duo dipercepat pencarian laganya seperti laga skuad,mohon diperbaiki permainan solo duo dipercepat pencarian laganya laga skuad,mohon baik main solo duo cepat cari laga laga skuad
2026-05-14 02:07:25,baru update kok sekrang banyak bugnya,3,baru update kok sekrang banyak bugnya,update sekrang bugnya,update sekrang bugnya
2026-05-14 02:00:03,"lagu yang sekarang bikin sakit kepala, gak bentah di lobu",1,lagu yang sekarang bikin sakit kepala gak bentah di lobu,lagu sakit kepala bentah lobu,lagu sakit kepala bentah lobu
2026-05-14 01:57:02,lumayan berat,5,lumayan berat,lumayan berat,lumayan berat
2026-05-14 01:33:27,tolong sistem griding di hapus. mempersulit player,3,tolong sistem griding di hapus mempersulit player,tolong sistem griding hapus mempersulit player,tolong sistem griding hapus sulit player
2026-05-14 01:01:59,kurang bagus map nya aku yg udh lama main ini agak lain map nya dari grafik pun bikin sakit mata yg bagus bagus lah tancent buat event nya lain kali kecewa aku,5,kurang bagus map nya aku yg udh lama main ini agak lain map nya dari grafik pun bikin sakit mata yg bagus bagus lah tancent buat event nya lain kali kecewa aku,bagus map udh main map grafik sakit mata bagus bagus tancent event kali kecewa,bagus map udh main map grafik sakit mata bagus bagus tancent event kali kecewa
2026-05-14 00:43:47,Walaupun aku ga jago aku sayang papi Tencent,5,walaupun aku ga jago aku sayang papi tencent,jago sayang papi tencent,jago sayang papi tencent
2026-05-14 00:37:08,setiap update memakan penyimpanan banget,3,setiap update memakan penyimpanan banget,update memakan penyimpanan,update makan simpan
2026-05-14 00:27:26,gem mantap,5,gem mantap,gem mantap,gem mantap
2026-05-14 00:20:15,sangat bagus,3,sangat bagus,bagus,bagus
